"net rent","living area","construction year","bathroom","kitchen","quality of location","central heating"
466,70,1965,0,0,1,1
932.2,72,1972,0,0,1,1
1215.7,70,1971,0,0,1,1
616.9,55,1971,0,0,1,1
1301.3,82,1996,0,1,1,1
780.3,74,1972,0,0,1,1
976.9,83,1972,0,0,1,1
820.1,107,1972,0,0,2,1
1043.5,55,1959,0,0,1,1
778.6,65,1957,0,0,1,1
753.5,65,1974,0,0,1,1
1000.9,45,1991,0,0,1,1
1548.8,78,1986,0,0,1,1
621.1,29,1974,0,0,1,1
542.7,31,1963,0,0,1,1
750.6,84,1962,0,0,2,1
1216.6,82,1995,0,0,2,1
799.1,48,1983,0,0,1,1
995.3,53,1993,0,1,1,1
1014.8,66,1971,0,0,2,1
1172.3,62,1984,0,0,1,1
1175.6,68,1971,1,0,1,1
1164.6,63,1929,0,0,2,1
879.8,57,1995,0,0,2,1
1764.2,100,1994,0,0,1,1
1698.5,85,1995,1,0,1,1
1034.2,53,1971,0,0,1,1
1435.5,100,1972,0,0,1,1
1635,90,1991,0,1,1,1
997.4,57,1970,0,0,1,1
713.6,62,1962,0,0,1,1
970.1,98,1918,0,0,1,1
1049.7,54,1988,0,0,2,1
747,57,1996,0,0,1,1
676.2,72,1951,0,0,2,1
611,47,1957.5,0,0,1,1
1345.3,76,1964,0,0,2,1
814.8,108,1956,0,0,2,1
1093,85,1957.5,0,0,2,1
658.6,52,1957.5,0,0,2,1
1098.8,79,1918,0,0,2,0
1024.2,79,1957.5,0,0,2,1
405.8,30,1956,0,0,2,1
1008.2,60,1990,0,1,1,1
827.9,50,1979,0,0,1,1
1782.4,65,1984,0,0,2,1
1041.7,72,1958,0,0,2,1
956.8,66,1957.5,0,0,2,0
810.7,93,1955,1,0,1,1
1160.2,70,1964,0,0,1,1
747.3,66,1957.5,0,0,1,1
821.3,101,1959,0,0,1,1
1967.6,140,1957.5,0,0,3,1
1136.1,75,1968,0,0,2,1
1384.8,79,1962,0,0,1,1
1546.6,105,1980,1,0,1,1
1652.7,117,1980,1,0,1,1
747.3,54,1995,0,0,2,1
752.2,82,1929,0,0,2,1
641,55,1918,0,0,2,0
762.5,71,1957.5,0,0,2,0
1373,98,1957.5,0,0,2,1
1206.1,72,1918,0,0,2,1
673.4,62,1929,0,0,2,1
499.2,29,1971,0,0,2,1
1074.3,61,1969,0,0,1,1
425.2,94,1929,0,1,1,1
1272.5,74,1948,0,1,3,1
541.5,39,1968,0,0,1,1
940.8,63,1968,0,0,1,1
258.6,46,1954,0,0,1,0
1222.6,88,1971,0,0,2,1
926.1,44,1957.5,0,0,1,1
598.5,68,1929,0,0,2,1
938.1,83,1957.5,0,0,2,1
599.9,76,1918,0,0,2,0
2241.6,140,1929,1,0,2,1
995.3,100,1935,0,0,2,1
479.5,30,1959,0,0,2,1
936.9,100,1968,0,0,1,1
496,45,1936,0,0,1,1
762,73,1955,0,0,1,1
487,51,1954,0,0,1,1
706,79,1969,0,0,1,1
955.5,67,1973,1,0,2,1
150.3,39,1949,0,0,1,0
649.7,56,1969,0,0,2,1
745.4,58,1939,0,0,1,1
813.2,45,1996,0,0,2,1
990.5,52,1918,1,0,1,1
579.6,41,1994,0,0,1,1
1060.3,105,1973,0,0,1,1
931.3,73,1960,0,0,1,1
1251.9,73,1960,0,0,1,1
898,110,1954,1,0,1,1
1005,110,1960,0,0,1,1
1151.7,64,1961,0,0,1,1
816.1,60,1963,0,0,1,1
582.2,30,1972,0,0,1,1
289.6,60,1952,0,0,1,1
1061.1,101,1957,0,0,1,1
848.5,80,1929,0,0,1,1
943.3,110,1963,1,0,1,1
771.4,50,1973,0,0,1,1
837.6,82,1954,0,0,1,1
516,40,1970,0,0,1,1
795.7,75,1994.5,1,0,1,1
352.4,87,1966,0,0,1,1
735.1,55,1971,0,0,1,1
1019,70,1972,0,0,1,1
1252.1,80,1984,0,0,2,1
671.1,71,1957.5,0,0,1,1
920,69,1971,0,0,1,1
1033.9,84,1968,0,0,1,1
1235.7,76,1956,0,0,1,1
935,92,1955,1,0,1,1
962.2,67,1960,0,0,1,1
454.9,80,1958,0,0,1,1
281.9,50,1957,0,0,2,1
1221.8,70,1939,0,0,2,1
1210.3,65,1972,0,0,1,1
718.5,60,1972,0,0,1,1
903.9,67,1965,0,0,1,1
1156.9,69,1929,0,0,2,1
691.3,28,1959,0,0,2,1
824.7,86,1970,0,0,1,1
738.3,63,1962,0,0,1,1
1069.6,62,1994.5,1,0,2,1
1545.3,88,1982,1,0,1,1
1017.8,90,1994.5,0,0,2,1
1468.9,65,1956,0,0,1,1
1162.9,75,1972,0,0,1,1
799.4,76,1967,0,0,1,1
1220.8,66,1937,0,0,2,1
1183.6,49,1971,0,0,2,1
967.1,80,1918,0,0,3,0
725.4,82,1964,0,0,1,1
599.1,59,1940,0,0,1,1
678.9,62,1954,0,0,2,1
484.3,57,1936,0,0,1,1
551.1,29,1983,0,0,1,1
777.9,48,1967,0,0,1,1
885,50,1972,0,0,1,1
657,90,1950,0,0,1,0
465.7,23,1972,0,0,2,1
689.8,30,1973,0,0,1,1
723.9,76,1918,0,0,1,1
712,26,1957.5,0,0,1,1
493,50,1918,0,0,1,1
924.1,85,1973,0,0,2,1
490.6,38,1955,0,0,1,0
765.5,87,1936,0,0,2,1
1737.4,85,1939,0,1,1,1
393,32,1973,0,0,1,1
861.3,48,1962,0,0,1,1
557.1,39,1958,0,0,1,1
1054,80,1965,0,0,2,1
695.4,42,1957.5,0,0,2,1
569.9,82,1918,0,0,1,0
579.1,35,1960,0,0,1,1
1389.3,81,1955,0,0,3,1
1625,81,1918,0,0,2,1
535.4,53,1961,0,0,2,1
1366.6,85,1918,0,0,2,1
1220.9,77,1957.5,0,0,2,1
788.7,137,1939,1,0,1,1
1053.8,56,1918,0,0,2,1
854.4,80,1918,0,0,2,0
857.8,44,1957.5,0,0,2,1
337.6,65,1956,0,0,2,1
870.3,110,1924,0,0,1,0
1431.1,120,1918,0,0,2,1
641.2,32,1983,0,0,1,1
886,48,1983,0,0,1,1
1196.3,74,1939,0,0,2,0
1114.7,74,1973,0,0,1,1
1432.3,100,1981,1,0,2,1
762.6,61,1918,0,0,1,0
988.2,92,1939,0,0,1,1
793.7,60,1964,0,0,1,1
554.4,38,1959,0,0,2,1
1166,95,1957.5,0,0,1,1
574.3,54,1918,0,0,1,0
494.1,33,1957.5,0,0,2,1
695.8,82,1969,0,0,2,1
958.9,55,1984,0,0,1,1
724.7,40,1958,0,0,2,1
650.3,93,1929,0,0,1,0
1208.1,76,1918,0,0,1,1
818.5,63,1950,0,0,1,1
1158.2,85,1997,0,0,1,1
737.2,56,1963,0,0,1,1
662,58,1972,0,0,1,1
694.7,32,1972,0,0,1,1
745.4,30,1968,0,0,3,1
417.9,28,1970,0,0,3,1
1079.7,63,1991,0,0,1,1
1277.1,60,1918,0,0,2,1
736.2,84,1935,0,0,3,0
906.1,65,1957.5,0,0,1,1
980.8,105,1929,0,0,3,1
977.2,77,1939,0,0,1,1
1298.3,85,1996,0,1,1,1
750.6,70,1929,0,0,1,1
434.7,47,1929,0,0,1,1
1000.7,80,1972,0,0,2,1
1155.2,77,1962,0,0,1,1
1077.3,111,1954,1,0,1,1
740.6,58,1962,0,0,1,1
905.7,82,1954,0,0,1,1
945.7,73,1973,0,0,1,1
1002.3,70,1973,0,0,1,1
971.5,98,1959,0,0,1,1
591.6,65,1961,0,0,1,1
1661.1,105,1975,0,0,1,1
947.5,63,1982,0,0,1,1
994.5,76,1955,0,0,2,1
556.8,79,1939,0,0,1,1
672,109,1924,0,0,1,0
1149.1,64,1918,0,0,1,1
1551.4,78,1972,0,1,2,1
907.1,110,1957.5,0,0,3,0
751.2,61,1969,0,0,1,1
990.4,70,1991,1,0,1,1
585.3,80,1918,0,0,1,0
757.1,48,1972,0,0,1,1
730.9,83,1929,1,0,1,0
831.7,48,1972,0,0,1,1
978.8,69,1957.5,0,0,1,1
981.3,40,1964,0,0,1,1
1085.8,54,1984,0,0,1,1
1607.7,107,1969,0,0,2,1
1079.4,126,1957,0,0,1,1
1075.5,55,1957.5,0,0,2,1
1706.7,128,1929,1,0,1,1
694.7,89,1980,1,0,2,1
794.5,110,1918,0,0,2,1
546.6,28,1969,0,0,2,1
464.7,35,1918,0,0,1,1
1169.9,54,1918,0,0,2,1
459.6,53,1957.5,0,0,1,1
504.9,95,1918,0,0,1,1
1289.5,123,1929,0,0,1,1
990.2,56,1939,0,0,1,1
1905.5,92,1994.5,1,0,2,1
2603.2,132,1995,0,0,2,1
1119.4,58,1957.5,0,0,2,1
1812.2,95,1976,0,0,3,1
2279.5,100,1967,1,0,3,1
1428,80,1970,0,0,2,1
566,28,1992,0,0,2,1
846.3,80,1973,0,0,1,1
1346.2,65,1965,0,0,1,1
1038.6,46,1991,0,0,2,1
984.8,79,1991,0,0,1,1
829.8,56,1988,0,0,1,1
1023.1,75,1972,0,0,1,1
581.5,49,1957.5,0,0,2,1
800.5,75,1957.5,0,0,2,1
816.3,74,1929,0,1,2,1
667,31,1929,0,0,2,1
320.1,45,1918,0,0,1,1
713.6,75,1959,0,0,2,1
749.8,60,1957.5,0,0,2,1
518.4,49,1959,0,0,2,1
895.9,101,1918,0,0,2,0
960.1,80,1929,0,0,2,1
590.7,35,1929,0,0,2,1
725.4,138,1918,0,0,2,1
1317.5,84,1918,0,0,2,1
329.5,30,1970,0,0,1,1
910,58,1970,0,0,2,1
537.4,85,1964,0,0,2,1
881.4,50,1957.5,0,0,2,1
348.7,56,1956,0,0,1,0
735.1,62,1962,0,0,2,1
693.6,52,1969,0,0,1,1
659.1,64,1963,0,0,2,1
385.6,22,1958,0,0,1,1
973,86,1962,0,0,1,1
469.1,52,1960,0,0,2,0
1027.6,51,1971,0,0,1,1
328.1,60,1939,0,0,1,1
718.7,54,1959,0,0,1,1
673.5,47,1971,0,0,1,1
364.1,48,1918,0,0,1,0
1558.2,84,1970,0,0,1,1
729,50,1957.5,0,0,2,1
255.1,49,1953,0,0,1,1
795.5,55,1957.5,0,0,1,1
870.9,58,1971,0,0,2,1
1047.4,64,1972,0,0,1,1
1113.7,70,1940,0,0,2,1
693.7,63,1961,0,0,1,1
1361.8,85,1970,0,0,2,1
592.8,45,1972,0,0,2,1
426.5,50,1965,0,0,2,1
1224.9,60,1992,0,1,1,1
500.5,64,1929,0,0,1,1
809.1,74,1957.5,0,0,1,1
434,30,1956,0,0,1,1
1028.1,76,1971,0,0,1,1
774.9,50,1929,0,0,1,1
995,64,1972,0,0,1,1
377,55,1939,0,0,2,1
471.6,79,1918,0,0,2,0
1725.4,137,1918,1,0,1,1
1278.1,145,1929,1,0,2,1
988.9,56,1957.5,0,0,1,0
909.1,102,1918,0,0,2,0
625.5,34,1971,0,0,1,1
510.2,30,1918,0,0,1,1
843.4,64,1972,0,0,1,1
716.9,59,1973,0,0,2,1
1254.5,77,1957,0,0,2,1
933.4,55,1957.5,0,0,1,1
839.7,44,1984,0,0,2,1
397.1,49,1918,0,0,2,0
1053.6,48,1955,0,0,1,1
802.2,56,1969,0,0,1,1
2676.4,155,1918,0,0,2,1
809.3,118,1918,0,0,1,0
706.8,71,1956,0,0,2,1
1922.5,160,1918,0,0,2,1
681.6,36,1959,0,0,2,1
829.9,93,1918,0,0,1,0
1139.4,63,1991,0,0,1,1
1124.8,89,1960,0,0,2,1
535.7,67,1918,0,0,2,0
1386.9,59,1924,0,0,2,1
1300,63,1957.5,0,0,2,1
1217.3,77,1972,1,1,1,1
1469.7,88,1964,0,0,1,1
367.6,70,1957.5,0,0,1,1
663.2,57,1939,0,0,1,1
1693.3,49,1988,0,0,2,1
600,33,1939,0,0,1,1
926.6,88,1983,0,0,1,1
1215.1,78,1955,0,1,1,1
1019.9,76,1977,0,0,1,1
1153.2,102,1970,0,0,1,1
788.3,74,1970,0,0,1,1
857.5,64,1958,0,0,1,1
1194.9,55,1983,0,0,1,1
813.2,73,1969,0,0,1,1
1257.3,65,1967,0,0,1,1
1510.3,98,1966,0,0,1,1
814.5,55,1955,0,1,1,1
914.7,110,1955,1,0,1,1
2458,104,1918,0,0,1,1
725.2,81,1939,0,0,2,1
793.8,78,1936,0,0,2,1
694.7,35,1958,0,0,2,1
337.3,45,1939,0,0,2,1
946.4,55,1972,0,0,2,1
1237.2,75,1973,0,0,2,1
1033.2,42,1983,0,0,1,1
1286.9,75,1955,0,0,2,1
611,68,1965,0,0,1,1
416,22,1970,0,0,1,1
297.3,59,1952,0,0,1,0
1268.8,57,1972,0,0,2,1
834.7,69,1963,0,0,2,1
736.6,66,1963,0,0,2,1
814,95,1929,0,0,1,1
1777.5,108,1989,0,0,1,1
564.9,60,1950,0,0,1,0
601.9,31,1929,0,0,1,1
1719.9,130,1918,0,0,1,1
940.7,56,1957.5,0,0,2,1
769.2,44,1973,1,0,1,1
533.2,58,1930,1,0,1,1
496.2,42,1974,0,0,2,1
475.6,78,1918,0,0,2,0
360.4,50,1929,0,0,2,0
1308.2,74,1959,0,1,2,1
1339.3,104,1957,0,0,2,1
1200.9,58,1959,0,0,2,1
936.1,90,1957.5,0,1,2,1
1783.5,96,1929,0,0,2,1
1137.2,63,1939,0,0,2,1
628.7,58,1956,0,0,2,1
989.4,68,1918,0,0,2,1
1151.3,65,1957.5,0,0,2,1
1376.3,80,1929,0,0,2,1
888.2,55,1929,0,0,2,1
462.5,35,1975,0,1,1,1
742.3,88,1929,0,0,2,0
761.3,85,1958,0,0,2,1
673.5,42,1952,0,0,1,1
2113.4,96,1918,1,0,2,1
965.4,68,1972,0,0,1,1
2097.5,110,1939,1,0,1,1
850.3,71,1918,0,0,2,1
1235.7,108,1918,0,0,2,1
1028.4,92,1972,0,0,1,1
1145.4,57,1994.5,1,0,1,1
804.5,57,1958,0,0,1,1
1161.3,57,1972,0,0,2,1
1060.2,92,1963,0,0,1,1
817.4,75,1957.5,0,0,2,1
628.7,61,1957.5,0,0,2,1
1427.3,89,1973,0,0,2,1
893.6,85,1957.5,1,0,1,1
1677.2,95,1991,0,0,1,1
989.3,56,1983,0,1,1,1
888.8,44,1968,0,0,2,1
1089.1,79,1957.5,0,0,1,1
1317.2,76,1924,0,0,2,1
1711.2,155,1918,1,0,3,1
856.9,97,1960,0,0,2,1
2411.8,110,1990,0,0,1,1
623.9,78,1936,0,0,2,1
1199.9,73,1993,0,0,1,1
1512.1,78,1981,0,0,1,1
1324.7,94,1939,1,0,2,1
1347.9,72,1918,0,1,2,1
681.4,55,1956,0,0,2,1
1274.1,89,1976,0,0,1,1
1013.6,58,1980,0,0,2,1
944.7,55,1957.5,0,0,1,1
1171.9,70,1972,0,0,1,1
704.2,57,1963,0,0,1,1
1036.5,110,1965,1,0,1,1
1248.1,102,1959,0,0,1,1
453.1,55,1960,0,0,1,1
1157.3,71,1918,0,0,3,1
418.3,45,1957.5,0,0,1,1
986.1,87,1971,0,0,1,1
1109.5,76,1959,0,0,1,1
1513.5,152,1918,0,0,2,1
610.7,80,1957.5,0,0,2,1
654.4,54,1970,0,0,1,1
664.2,82,1969,1,0,2,1
1208.8,80,1918,0,0,2,1
1218.6,82,1962,0,0,1,1
928.5,87,1972,1,0,2,1
722.9,73,1962,0,0,2,1
1578.6,87,1930,0,1,1,1
1289.5,80,1962,0,0,1,1
883.9,82,1939,0,0,1,1
916.5,60,1966,0,0,2,1
958,77,1929,0,0,2,1
696.6,81,1929,0,0,1,0
328.8,68,1918,0,0,1,0
657.1,52,1956,0,0,1,0
761.2,65,1957,0,0,1,1
880.8,85,1972,1,0,1,1
717.9,96,1936,0,0,3,1
1276.8,69,1991,0,1,1,1
482,30,1957.5,0,0,2,1
670.2,87,1918,0,0,2,0
728.3,57,1962,0,0,1,1
1169.8,60,1972,0,0,2,1
546.1,40,1966,0,0,1,1
793.4,40,1967,0,0,1,1
699.6,38,1986,0,0,1,1
1071.8,78,1971,0,0,1,1
565.2,30,1956,0,0,1,1
787,79,1929,0,0,1,1
449.9,82,1918,0,0,2,1
1391.1,129,1918,0,0,2,1
1361.2,80,1958,0,0,2,1
671.8,35,1953,0,0,1,1
266.5,32,1972,0,0,1,1
805.7,62,1971,0,0,1,1
573.2,46,1959,0,0,1,1
594.4,75,1956,0,0,2,1
393.9,45,1929,0,0,2,0
1256,70,1918,0,0,1,1
516.7,29,1957,0,0,1,1
1162.1,52,1961,0,0,1,1
1401,69,1918,0,0,2,1
987.6,77,1960,0,0,1,1
915.2,60,1960,0,0,1,1
1659.8,85,1992,0,0,1,1
1197.2,76,1969,0,0,3,1
720.7,68,1960,0,0,1,1
1261.6,66,1981,0,0,1,1
563.2,45,1971,0,0,1,1
1085.7,108,1971,0,0,1,1
861.3,69,1971,0,0,1,1
1114.3,83,1973,0,0,1,1
1361.7,75,1918,0,0,1,1
1060.5,47,1992,0,0,2,1
893.2,64,1959,0,0,1,1
1044.7,52,1992,0,0,2,1
849.4,43,1972,0,0,1,1
618.7,81,1918,0,0,2,0
530.8,33,1983,0,0,1,1
1531.4,84,1988,0,0,2,1
280.5,71,1957.5,0,0,2,1
803.2,51,1984,0,0,1,1
658.6,36,1968,0,0,1,1
1596.3,120,1983,1,0,2,1
1021.4,54,1984,0,0,1,1
857,99,1957.5,1,0,1,1
1492.5,95,1980,1,0,1,1
1134.9,111,1954,1,0,1,1
889,52,1966,0,0,1,1
1108.5,102,1954,1,0,1,1
1038.9,54,1957.5,0,0,2,1
1006.2,58,1936,0,0,2,0
522.8,56,1918,0,0,1,1
519.2,65,1929,0,0,1,1
1237.2,74,1984,0,0,1,1
872.3,57,1986,0,0,1,1
852.7,80,1959,0,0,2,1
437.8,52,1957,0,0,1,1
397.3,45,1939,0,0,1,1
1310.2,58,1994,0,0,1,1
999.7,125,1918,0,0,2,0
654.3,73,1918,0,0,2,1
815.3,96,1957,0,0,1,1
964.1,73,1965,0,0,1,1
581.7,65,1918,0,0,1,1
1588.4,76,1983,0,1,1,1
1205.1,62,1983,0,1,1,1
1473.5,96,1929,0,0,1,0
817.4,75,1957.5,0,0,1,1
519.5,60,1957.5,0,0,2,1
335.7,67,1918,0,0,2,0
1338.5,75,1971,0,0,1,1
681.8,50,1957.5,0,0,1,1
458.1,36,1971,0,0,1,1
978.1,60,1918,0,0,2,1
1184,93,1961,0,0,2,1
791.5,93,1955,1,0,1,1
1600.4,120,1929,1,0,2,1
1749.3,89,1954,0,0,1,1
527.5,30,1959,0,0,1,1
269,36,1918,0,0,2,1
615.5,38,1960,0,0,1,1
1520.6,69,1991,1,0,2,1
1699.1,73,1972,0,0,3,1
354.8,84,1964,0,0,1,1
758.3,64,1972,0,0,1,1
1066.7,56,1956,0,0,2,0
833.9,60,1954,0,0,2,0
1572.9,81,1918,0,0,2,1
927.8,50,1972,0,0,2,1
867.8,59,1981,0,0,1,1
763.2,30,1974,0,0,2,1
462.4,36,1960,0,0,1,1
554.5,26,1972,0,0,1,1
1165.6,74,1929,0,0,1,1
776.6,76,1970,0,0,1,1
853,49,1918,0,0,1,1
746.6,56,1957.5,0,0,2,1
1620.2,85,1918,0,1,2,1
544.1,75,1957.5,0,0,1,1
788.4,56,1918,0,0,1,1
1433.7,96,1967,0,0,2,1
466.8,95,1918,0,0,1,0
507.6,78,1929,0,0,2,0
864.7,49,1971,0,0,1,1
519,38,1958,0,0,1,1
674.6,34,1984,0,0,2,1
807.6,29,1972,0,0,1,1
392.9,59,1957.5,0,0,1,1
1197.7,69,1965,0,0,1,1
1936.1,107,1972,1,1,1,1
443.5,65,1918,1,0,2,1
1349,115,1955,0,0,2,1
744.7,45,1918,0,0,2,1
1190.8,82,1984,0,0,2,1
1298,85,1985,0,0,2,1
854.5,90,1939,0,0,2,1
2282.1,110,1973,0,0,3,1
815.1,72,1970,0,0,1,1
1114.6,72,1972,0,0,1,1
1125.5,61,1937,0,0,2,0
1296.6,87,1972,0,0,2,1
779.8,82,1957.5,0,0,2,1
1146.7,54,1957.5,0,0,2,1
1139.9,97,1939,0,0,2,1
846.3,60,1957.5,0,1,2,1
928.6,59,1957,0,0,2,1
551.9,86,1918,0,0,2,1
896.5,55,1918,0,0,2,1
179.6,39,1939,0,0,1,0
991.6,64,1918,0,0,1,1
804.6,51,1957,0,0,2,1
737.3,80,1930,0,0,1,1
916.9,90,1918,0,0,2,0
741.8,60,1956,0,0,2,1
543.7,38,1929,0,0,2,1
623,65,1929,0,0,1,1
578.3,35,1967,0,0,1,1
1276.9,130,1929,1,0,1,0
1453.6,70,1991,0,1,2,1
668.3,55,1918,0,0,1,1
475.5,58,1961,0,0,2,1
1112.7,120,1939,0,0,1,1
850,51,1967,0,0,1,1
1361.6,78,1959,1,0,2,1
699.4,61,1957.5,0,0,1,1
688.7,56,1959,0,0,1,1
1550.2,95,1972,1,0,2,1
728.5,79,1924,0,0,3,0
1057.3,70,1957.5,0,0,2,1
1880.6,73,1991,1,1,2,1
1116.7,79,1957.5,1,0,2,1
1171.9,54,1984,0,0,2,1
1062.4,120,1929,0,0,1,1
737,33,1977,0,0,2,1
1586.9,70,1991,1,0,3,1
1418.3,130,1957.5,0,0,2,1
1384,85,1918,1,0,2,1
1840.8,86,1991,1,1,1,1
1251.3,67,1918,0,0,2,1
910.7,71,1939,0,0,2,1
802.7,80,1957.5,0,0,2,1
1208.1,58,1991,0,0,2,1
394.4,32,1929,0,0,2,1
989.2,56,1959,0,0,2,1
1069.6,71,1983,0,0,1,1
599.9,50,1959,0,0,2,1
998.4,70,1918,0,0,2,1
79,47,1918,0,0,2,1
1421.2,90,1918,1,0,2,1
458.6,40,1958,0,1,1,1
771.3,69,1918,0,0,1,1
879.9,77,1972,0,0,2,1
527.1,77,1918,0,0,1,1
528.3,31,1939,0,0,2,0
1473.5,86,1918,0,0,2,1
1002.9,60,1918,0,0,2,1
587.3,58,1957.5,0,0,1,0
613,39,1957,0,0,1,1
647.5,104,1918,0,0,1,0
1074.2,78,1918,0,0,1,1
1375.3,96,1918,0,0,1,1
1013.5,82,1918,0,0,1,1
757.3,64,1966,0,0,2,1
771.3,69,1973,1,0,2,1
477.3,48,1965,0,0,1,1
567.5,50,1924,0,0,1,1
977.7,59,1987,0,0,1,1
896.5,67,1984,0,0,1,1
914,89,1971,0,0,1,1
753,82,1960,0,0,1,1
804.3,55,1969,0,0,1,1
828.5,83,1970,0,0,1,1
479.8,59,1939,0,0,1,0
1332.9,101,1979,0,0,1,1
785.8,55,1969,0,0,1,1
942.6,77,1975,1,0,1,1
780.8,50,1959,0,0,1,1
397.9,57,1918,0,0,1,1
1056,62,1962,0,0,1,1
1454.8,89,1981,0,0,2,1
1717.2,87,1984,1,1,2,1
1178.3,60,1963,0,0,2,1
729.5,35,1970,0,0,1,1
262,36,1931,0,0,1,0
1239.3,65,1929,0,0,1,1
1487.9,77,1918,0,0,2,0
881,39,1985,0,0,2,1
1308.1,83,1985,0,0,1,1
1787.6,108,1918,0,0,1,1
419.7,31,1918,0,0,1,0
1091.7,100,1961,0,0,1,1
1412.8,80,1957.5,0,0,2,1
857.6,68,1956,0,0,1,1
963.7,75,1957.5,0,0,2,1
847.1,58,1953,0,0,2,1
699.6,55,1997,0,0,1,1
398.2,42,1939,0,1,1,1
864.2,84,1973,0,0,1,1
528.7,78,1957.5,0,0,2,0
1133.3,80,1957.5,0,0,2,1
573.4,58,1957.5,0,0,2,1
795.4,71,1959,0,0,1,1
1041.9,50,1969,0,1,1,1
720,58,1918,0,0,1,0
1258.9,59,1939,0,0,3,1
692.8,55,1918,0,0,1,1
1378.9,82,1959,0,0,1,1
672.3,52,1959,0,1,1,1
713.7,60,1957.5,0,0,2,1
